bugID,finalID,taxaClass,taxaOrder,taxaFamily,taxaSubFamily,tolerance,ffg,cwInd,html_url
756,Ablabesmyia annulata,Insecta,Diptera,Chironomidae,,8,PR,False,https://programs.iowadnr.gov/bionet/inverts/taxa/756
207,Acentrella,Insecta,Ephemeroptera,Baetidae,,4.2,CG,False,https://programs.iowadnr.gov/bionet/inverts/taxa/207
210,Acentrella parvula,Insecta,Ephemeroptera,Baetidae,,4,CG,False,https://programs.iowadnr.gov/bionet/inverts/taxa/210
208,Acentrella turbida,Insecta,Ephemeroptera,Baetidae,,6,CG,False,https://programs.iowadnr.gov/bionet/inverts/taxa/208
770,Acerpenna,Insecta,Ephemeroptera,Baetidae,,4.5,CG,False,https://programs.iowadnr.gov/bionet/inverts/taxa/770
847,Acerpenna macdunnoughi,Insecta,Ephemeroptera,Baetidae,,5,CG,False,https://programs.iowadnr.gov/bionet/inverts/taxa/847
826,Acerpenna pygmaea,Insecta,Ephemeroptera,Baetidae,,4,CG,False,https://programs.iowadnr.gov/bionet/inverts/taxa/826
68,Acilius,Insecta,Coleoptera,Dytiscidae,,5.2,PR,False,https://programs.iowadnr.gov/bionet/inverts/taxa/68
722,Acilius fraternus,Insecta,Coleoptera,Dytiscidae,,5.2,PR,False,https://programs.iowadnr.gov/bionet/inverts/taxa/722
723,Acilius mediatus,Insecta,Coleoptera,Dytiscidae,,5.2,PR,False,https://programs.iowadnr.gov/bionet/inverts/taxa/723
69,Acilius sylvanus,Insecta,Coleoptera,Dytiscidae,,5.2,PR,False,https://programs.iowadnr.gov/bionet/inverts/taxa/69
403,Acroneuria,Insecta,Plecoptera,Perlidae,,0,PR,False,https://programs.iowadnr.gov/bionet/inverts/taxa/403
565,Acroneuria abnormis,Insecta,Plecoptera,Perlidae,,0,PR,False,https://programs.iowadnr.gov/bionet/inverts/taxa/565
620,Acroneuria lycorias,Insecta,Plecoptera,Perlidae,,0,PR,False,https://programs.iowadnr.gov/bionet/inverts/taxa/620
724,Actinobdella inequiannulata,Clitellata,Rhynchobdellida,Glossiphoniidae,,7,PR,False,https://programs.iowadnr.gov/bionet/inverts/taxa/724
1124,Aedes,Insecta,Diptera,Culicidae,,,CF,False,https://programs.iowadnr.gov/bionet/inverts/taxa/1124
357,Aeshna,Insecta,Odonata,Aeshnidae,,5,PR,False,https://programs.iowadnr.gov/bionet/inverts/taxa/357
696,Aeshna palmata,Insecta,Odonata,Aeshnidae,,5,PR,False,https://programs.iowadnr.gov/bionet/inverts/taxa/696
624,Aeshna umbrosa,Insecta,Odonata,Aeshnidae,,5,PR,False,https://programs.iowadnr.gov/bionet/inverts/taxa/624
705,Aeshna/Anax,Insecta,Odonata,Aeshnidae,,6.5,PR,False,https://programs.iowadnr.gov/bionet/inverts/taxa/705
356,Aeshnidae,Insecta,Odonata,Aeshnidae,,2.9,PR,False,https://programs.iowadnr.gov/bionet/inverts/taxa/356
531,Agabetes,Insecta,Coleoptera,Dytiscidae,,5,PR,False,https://programs.iowadnr.gov/bionet/inverts/taxa/531
1030,Agabinae,Insecta,Coleoptera,Dytiscidae,Agabinae,5,PR,False,https://programs.iowadnr.gov/bionet/inverts/taxa/1030
959,Agabini-Complex,Insecta,Coleoptera,Dytiscidae,Agabinae,5,UN,False,https://programs.iowadnr.gov/bionet/inverts/taxa/959
70,Agabus,Insecta,Coleoptera,Dytiscidae,Agabinae,5,PR,False,https://programs.iowadnr.gov/bionet/inverts/taxa/70
795,Agabus ambiguus,Insecta,Coleoptera,Dytiscidae,Agabinae,5,PR,False,https://programs.iowadnr.gov/bionet/inverts/taxa/795
800,Agabus disintegratus,Insecta,Coleoptera,Dytiscidae,Agabinae,5,PR,False,https://programs.iowadnr.gov/bionet/inverts/taxa/800
967,Agabus/Ilybisoma/Platambus,Insecta,Coleoptera,Dytiscidae,Agabinae,5,PR,False,https://programs.iowadnr.gov/bionet/inverts/taxa/967
635,Agabus/Ilybius,Insecta,Coleoptera,Dytiscidae,Agabinae,5,PR,False,https://programs.iowadnr.gov/bionet/inverts/taxa/635
404,Agnetina,Insecta,Plecoptera,Perlidae,,2,PR,False,https://programs.iowadnr.gov/bionet/inverts/taxa/404
567,Agnetina capitata,Insecta,Plecoptera,Perlidae,,2,PR,False,https://programs.iowadnr.gov/bionet/inverts/taxa/567
1128,Agraylea,Insecta,Trichoptera,Hydroptilidae,Hydroptilinae,8,PI,False,https://programs.iowadnr.gov/bionet/inverts/taxa/1128
1068,Alasmidonta marginata,Bivalvia,Unionoida,Unionidae,,6,CF,False,https://programs.iowadnr.gov/bionet/inverts/taxa/1068
