"river","location","distinct_ffg","total_count"
"RCLS","beginning","CG",226.588
"RCLS","beginning","CF",1245.437
"RCLS","beginning","SC",15.277
"RCLS","beginning","SH",18.453
"RCLS","beginning","PR",1.389
"RCLS","beginning","CG",270.833
"RCLS","beginning","CF",1229.168
"RCLS","beginning","SC",77.778
"RCLS","beginning","SH",100
"RCLS","beginning","PR",11.112
"RCLS","beginning","CG",193.889
"RCLS","beginning","CF",835.556
"RCLS","beginning","SC",34.445
"RCLS","beginning","SH",43.333
"RCLS","beginning","PR",15.186
"RCLS","beginning","CG",219.445
"RCLS","beginning","CF",244.446
"RCLS","beginning","SC",51.388
"RCLS","beginning","SH",19.444
"RCLS","beginning","PR",25
"RCLS","beginning","CG",156.41
"RCLS","beginning","CF",30.94
"RCLS","beginning","SC",17.265
"RCLS","beginning","SH",37.863
"RCLS","beginning","PR",5.555
"RCLS","beginning","CG",150.001
"RCLS","beginning","CF",33.334
"RCLS","beginning","SC",8.333
"RCLS","beginning","SH",30.556
"RCLS","beginning","PR",9.722
"RCLS","end","CG",576.356
"RCLS","end","CF",11774.568
"RCLS","end","SC",26.729
"RCLS","end","SH",98.827
"RCLS","end","PR",10.37
"RCLS","end","CG",685.481
"RCLS","end","CF",5830.472
"RCLS","end","SC",21.145
"RCLS","end","SH",165.825
"RCLS","end","PR",63.569
"RCLS","end","CG",330
"RCLS","end","CF",5599.306
"RCLS","end","SC",22.916
"RCLS","end","SH",43.472
"RCLS","end","PR",20.094
"RCLS","end","CG",203.704
"RCLS","end","CF",34.259
"RCLS","end","SC",36.111
"RCLS","end","SH",9.723
"RCLS","end","PR",10.648
"RCLS","end","CG",215.379
"RCLS","end","CF",99.999
"RCLS","end","SC",25.529
"RCLS","end","SH",3.232
"RCLS","end","PR",14.95
"RCLS","end","CG",72.727
"RCLS","end","CF",8.081
"RCLS","end","SC",8.081
"RCLS","end","SH",0
"RCLS","end","PR",12.121
"RCLS","end","CG",58.334
"RCLS","end","CF",29.166
"RCLS","end","SC",10.648
"RCLS","end","SH",1.389
"RCLS","end","PR",14.353
"CLS","beginning","CG",2299.73
"CLS","beginning","CF",45.004
"CLS","beginning","SC",13.501
"CLS","beginning","SH",265.526
"CLS","beginning","PR",13.501
"CLS","beginning","CG",2106.211
"CLS","beginning","CF",99.01
"CLS","beginning","SH",45.004
"CLS","beginning","PR",9
"CLS","end","CG",1795.68
"CLS","end","CF",3271.826
"CLS","end","SC",27.003
"CLS","end","SH",130.512
"CLS","end","PR",99.01
"CLS","end","CG",2142.214
"CLS","end","CF",706.572
"CLS","end","SC",22.502
"CLS","end","SH",117.012
"CLS","end","PR",94.51
"CLS","end","CG",5427.543
"CLS","end","CF",1633.663
"CLS","end","SC",292.529
"CLS","end","SH",396.039
"CLS","end","PR",364.536
"ELS","beginning","CG",585.057
"ELS","beginning","CF",81.007
"ELS","beginning","SC",0
"ELS","beginning","SH",13.501
"ELS","beginning","PR",4.5
"ELS","beginning","CG",1215.121
"ELS","beginning","CF",40.504
"ELS","beginning","SH",54.005
"ELS","beginning","CG",1881.188
"ELS","beginning","CF",216.021
"ELS","beginning","SH",90.008
"ELS","beginning","PR",13.501
"ELS","end","CG",904.591
"ELS","end","CF",4729.971
"ELS","end","SC",4.5
"ELS","end","SH",4.5
"ELS","end","PR",13.501
"ELS","end","CG",3447.343
"ELS","end","CF",1678.668
"ELS","end","SC",72.007
"ELS","end","SH",40.504
"ELS","end","PR",22.5
"ELS","end","CG",2227.722
"ELS","end","CF",11354.636
"ELS","end","SH",36.002
"ELS","end","PR",4.5
