river,site,trial,ffg,count
RCLS,1,1,CF,19.048
RCLS,1,1,CG,34.921
RCLS,1,1,CG/PR,0
RCLS,1,1,CG/SC,0
RCLS,1,1,PI,0
RCLS,1,1,PR,0
RCLS,1,1,SC,0
RCLS,1,1,SH,3.175
RCLS,1,1,UN,0
RCLS,2,1,CF,2.778
RCLS,2,1,CG,98.611
RCLS,2,1,CG/PR,0
RCLS,2,1,CG/SC,0
RCLS,2,1,PI,0
RCLS,2,1,PR,0
RCLS,2,1,SC,0
RCLS,2,1,SH,0
RCLS,2,1,UN,2.778
RCLS,2,2,CF,1.389
RCLS,2,2,CG,47.222
RCLS,2,2,CG/PR,0
RCLS,2,2,CG/SC,0
RCLS,2,2,PI,0
RCLS,2,2,PR,5.556
RCLS,2,2,SC,0
RCLS,2,2,SH,20.833
RCLS,2,2,UN,5.556
RCLS,2,3,CF,16.667
RCLS,2,3,CG,125.001
RCLS,2,3,CG/PR,0
RCLS,2,3,CG/SC,0
RCLS,2,3,PI,4.63
RCLS,2,3,PR,12.964
RCLS,2,3,SC,5.556
RCLS,2,3,SH,27.778
RCLS,2,3,UN,11.111
RCLS,2,4,CF,29.168
RCLS,2,4,CG,105.556
RCLS,2,4,CG/PR,0
RCLS,2,4,CG/SC,0
RCLS,2,4,PI,0
RCLS,2,4,PR,9.722
RCLS,2,4,SC,13.888
RCLS,2,4,SH,9.722
RCLS,2,4,UN,5.556
RCLS,2,5,CF,15.385
RCLS,2,5,CG,45.299
RCLS,2,5,CG/PR,0
RCLS,2,5,CG/SC,0
RCLS,2,5,PI,0
RCLS,2,5,PR,0
RCLS,2,5,SC,1.709
RCLS,2,5,SH,25.641
RCLS,2,5,UN,0.855
RCLS,2,6,CF,33.334
RCLS,2,6,CG,150.001
RCLS,2,6,CG/PR,0
RCLS,2,6,CG/SC,0
RCLS,2,6,PI,0
RCLS,2,6,PR,9.722
RCLS,2,6,SC,8.333
RCLS,2,6,SH,30.556
RCLS,2,6,UN,8.333
RCLS,3,1,CF,1223.611
RCLS,3,1,CG,86.112
RCLS,3,1,CG/PR,0
RCLS,3,1,CG/SC,6.944
RCLS,3,1,PI,1.389
RCLS,3,1,PR,1.389
RCLS,3,1,SC,8.333
RCLS,3,1,SH,15.278
RCLS,3,1,UN,16.667
RCLS,3,2,CF,1227.779
RCLS,3,2,CG,180.555
RCLS,3,2,CG/PR,0
RCLS,3,2,CG/SC,43.056
RCLS,3,2,PI,0
RCLS,3,2,PR,5.556
RCLS,3,2,SC,34.722
RCLS,3,2,SH,79.167
RCLS,3,2,UN,25
RCLS,3,3,CF,818.889
RCLS,3,3,CG,55.555
RCLS,3,3,CG/PR,0
RCLS,3,3,CG/SC,13.333
RCLS,3,3,PI,0
RCLS,3,3,PR,2.222
RCLS,3,3,SC,15.556
RCLS,3,3,SH,15.555
RCLS,3,3,UN,27.778
RCLS,3,4,CF,215.278
RCLS,3,4,CG,113.889
RCLS,3,4,CG/PR,0
RCLS,3,4,CG/SC,0
RCLS,3,4,PI,0
RCLS,3,4,PR,15.278
RCLS,3,4,SC,37.5
RCLS,3,4,SH,9.722
RCLS,3,4,UN,22.222
RCLS,3,5,CF,15.555
RCLS,3,5,CG,104.444
RCLS,3,5,CG/PR,0
RCLS,3,5,CG/SC,6.667
RCLS,3,5,PI,1.111
RCLS,3,5,PR,5.555
RCLS,3,5,SC,8.889
RCLS,3,5,SH,12.222
RCLS,3,5,UN,11.111
RCLS,4,1,CF,3267.778
RCLS,4,1,CG,67.777
RCLS,4,1,CG/PR,0
RCLS,4,1,CG/SC,0
RCLS,4,1,PI,0
RCLS,4,1,PR,0
RCLS,4,1,SC,1.111
RCLS,4,1,SH,24.444
RCLS,4,1,UN,1.111
RCLS,4,2,CF,3051.852
RCLS,4,2,CG,338.89
RCLS,4,2,CG/PR,0
RCLS,4,2,CG/SC,0
RCLS,4,2,PI,0
RCLS,4,2,PR,50
RCLS,4,2,SC,9.259
RCLS,4,2,SH,137.037
RCLS,4,2,UN,29.63
RCLS,4,3,CF,3427.778
RCLS,4,3,CG,127.778
RCLS,4,3,CG/PR,0
RCLS,4,3,CG/SC,0
RCLS,4,3,PI,0
RCLS,4,3,PR,5.556
RCLS,4,3,SC,8.333
RCLS,4,3,SH,37.5
RCLS,4,3,UN,16.666
RCLS,5,1,CF,1844.444
RCLS,5,1,CG,109.259
RCLS,5,1,CG/PR,0
RCLS,5,1,CG/SC,0.926
RCLS,5,1,PI,1.852
RCLS,5,1,PR,0
RCLS,5,1,SC,0
RCLS,5,1,SH,0.926
RCLS,5,1,UN,2.778
RCLS,5,2,CF,2361.111
RCLS,5,2,CG,133.333
RCLS,5,2,CG/PR,0
RCLS,5,2,CG/SC,0
RCLS,5,2,PI,0
RCLS,5,2,PR,1.111
RCLS,5,2,SC,1.111
RCLS,5,2,SH,5.556
RCLS,5,2,UN,11.111
RCLS,5,3,CF,2144.445
RCLS,5,3,CG,57.778
RCLS,5,3,CG/PR,0
RCLS,5,3,CG/SC,0
RCLS,5,3,PI,0
RCLS,5,3,PR,1.111
RCLS,5,3,SC,0
RCLS,5,3,SH,1.111
RCLS,5,3,UN,4.444
RCLS,6,1,CF,3912.346
RCLS,6,1,CG,139.506
RCLS,6,1,CG/PR,0
RCLS,6,1,CG/SC,0
RCLS,6,1,PI,0
RCLS,6,1,PR,0
RCLS,6,1,SC,2.47
RCLS,6,1,SH,4.938
RCLS,6,1,UN,1.235
RCLS,6,2,CF,410.101
RCLS,6,2,CG,120.201
RCLS,6,2,CG/PR,0
RCLS,6,2,CG/SC,0
RCLS,6,2,PI,0
RCLS,6,2,PR,5.05
RCLS,6,2,SC,7.071
RCLS,6,2,SH,12.121
RCLS,6,2,UN,12.121
RCLS,6,3,CF,11.805
RCLS,6,3,CG,47.917
RCLS,6,3,CG/PR,0
RCLS,6,3,CG/SC,0.694
RCLS,6,3,PI,1.389
RCLS,6,3,PR,0
RCLS,6,3,SC,1.389
RCLS,6,3,SH,0.694
RCLS,6,3,UN,0.694
RCLS,6,4,CF,27.777
RCLS,6,4,CG,93.056
RCLS,6,4,CG/PR,0
RCLS,6,4,CG/SC,12.5
RCLS,6,4,PI,0
RCLS,6,4,PR,1.389
RCLS,6,4,SC,9.722
RCLS,6,4,SH,6.945
RCLS,6,4,UN,9.722
RCLS,6,5,CF,88.888
RCLS,6,5,CG,127.777
RCLS,6,5,CG/PR,0
RCLS,6,5,CG/SC,1.111
RCLS,6,5,PI,0
RCLS,6,5,PR,3.333
RCLS,6,5,SC,14.444
RCLS,6,5,SH,2.222
RCLS,6,5,UN,14.445
RCLS,7,1,CF,238.889
RCLS,7,1,CG,86.666
RCLS,7,1,CG/PR,2.222
RCLS,7,1,CG/SC,14.444
RCLS,7,1,PI,0
RCLS,7,1,PR,4.444
RCLS,7,1,SC,7.778
RCLS,7,1,SH,5.556
RCLS,7,1,UN,11.111
RCLS,7,2,CF,1.852
RCLS,7,2,CG,38.89
RCLS,7,2,CG/PR,0
RCLS,7,2,CG/SC,0
RCLS,7,2,PI,0
RCLS,7,2,PR,1.852
RCLS,7,2,SC,0.926
RCLS,7,2,SH,0
RCLS,7,2,UN,11.111
RCLS,7,3,CF,2.778
RCLS,7,3,CG,69.444
RCLS,7,3,CG/PR,0
RCLS,7,3,CG/SC,0
RCLS,7,3,PI,2.778
RCLS,7,3,PR,9.26
RCLS,7,3,SC,2.778
RCLS,7,3,SH,2.778
RCLS,7,3,UN,9.259
RCLS,7,4,CF,0.926
RCLS,7,4,CG,58.333
RCLS,7,4,CG/PR,0
RCLS,7,4,CG/SC,0.926
RCLS,7,4,PI,0
RCLS,7,4,PR,6.481
RCLS,7,4,SC,4.63
RCLS,7,4,SH,2.778
RCLS,7,4,UN,8.334
RCLS,7,5,CF,0
RCLS,7,5,CG,21.212
RCLS,7,5,CG/PR,0
RCLS,7,5,CG/SC,0
RCLS,7,5,PI,0
RCLS,7,5,PR,6.061
RCLS,7,5,SC,3.03
RCLS,7,5,SH,1.01
RCLS,7,5,UN,18.182
RCLS,7,6,CF,8.081
RCLS,7,6,CG,72.727
RCLS,7,6,CG/PR,0
RCLS,7,6,CG/SC,0
RCLS,7,6,PI,0
RCLS,7,6,PR,12.121
RCLS,7,6,SC,8.081
RCLS,7,6,SH,0
RCLS,7,6,UN,49.495
RCLS,7,7,CF,0
RCLS,7,7,CG,12.963
RCLS,7,7,CG/PR,0
RCLS,7,7,CG/SC,0.926
RCLS,7,7,PI,0
RCLS,7,7,PR,4.63
RCLS,7,7,SC,0
RCLS,7,7,SH,0
RCLS,7,7,UN,0
RCLS,8,1,CF,2511.111
RCLS,8,1,CG,155.556
RCLS,8,1,CG/PR,0
RCLS,8,1,CG/SC,0
RCLS,8,1,PI,0
RCLS,8,1,PR,3.704
RCLS,8,1,SC,0
RCLS,8,1,SH,62.963
RCLS,8,1,UN,125.926
RCLS,8,2,CF,5.556
RCLS,8,2,CG,51.389
