"river","site","ffg","mean_proportion"
"CLS",1,"CF",0.00278286098969346
"CLS",1,"CG",0.899348762637361
"CLS",1,"CG/PR",0.00185530936732322
"CLS",1,"CG/SC",0
"CLS",1,"PI",0
"CLS",1,"PR",0.00237249541084588
"CLS",1,"SC",0.00711801345374005
"CLS",1,"SH",0.0662914185106596
"CLS",1,"UN",0.020231139630377
"CLS",2,"CF",0.125782924481707
"CLS",2,"CG",0.763533157969641
"CLS",2,"CG/PR",0
"CLS",2,"CG/SC",0
"CLS",2,"PI",0
"CLS",2,"PR",0.00282457505837455
"CLS",2,"SC",0
"CLS",2,"SH",0.00564977780009541
"CLS",2,"UN",0.102209564690182
"CLS",3,"CF",0.558028939769724
"CLS",3,"CG",0.31457360119786
"CLS",3,"CG/PR",0.0318692414825455
"CLS",3,"CG/SC",0.00318054252889408
"CLS",3,"PI",0.0210512383406108
"CLS",3,"PR",0.00876992133093715
"CLS",3,"SC",0.013246638958032
"CLS",3,"SH",0.0443108438880766
"CLS",3,"UN",0.00496903250332001
"CLS",4,"CF",0.209072135538897
"CLS",4,"CG",0.73459477038959
"CLS",4,"CG/PR",0.0113420832165316
"CLS",4,"CG/SC",0.00574198969573252
"CLS",4,"PI",0.000752370720139159
"CLS",4,"PR",0.00656354895347357
"CLS",4,"SC",0
"CLS",4,"SH",0.0261774425057856
"CLS",4,"UN",0.00575565897985041
"CLS",5,"CF",0.288702100302434
"CLS",5,"CG",0.619247550452907
"CLS",5,"CG/PR",0
"CLS",5,"CG/SC",0.0251048942597064
"CLS",5,"PI",0
"CLS",5,"PR",0.00836829808656879
"CLS",5,"SC",0
"CLS",5,"SH",0.0334722626386775
"CLS",5,"UN",0.0251048942597064
"ELS",2,"CF",0.0117162593514237
"ELS",2,"CG",0.878340998376474
"ELS",2,"CG/PR",0
"ELS",2,"CG/SC",0
"ELS",2,"PI",0
"ELS",2,"PR",0.0043064044244821
"ELS",2,"SC",0
"ELS",2,"SH",0.0320231474574432
"ELS",2,"UN",0.0736131903901767
"ELS",3,"CF",0.063138387698624
"ELS",3,"CG",0.833688741866515
"ELS",3,"CG/PR",0
"ELS",3,"CG/SC",0
"ELS",3,"PI",0
"ELS",3,"PR",0.0168421497226021
"ELS",3,"SC",0
"ELS",3,"SH",0.0670196790283695
"ELS",3,"UN",0.0193110416838898
"ELS",4,"CF",0.181863211360968
"ELS",4,"CG",0.794895482893237
"ELS",4,"CG/PR",0
"ELS",4,"CG/SC",0
"ELS",4,"PI",0
"ELS",4,"PR",0
"ELS",4,"SC",0
"ELS",4,"SH",0.00931883319012933
"ELS",4,"UN",0.0139224725556651
"ELS",5,"CF",0.513507146406516
"ELS",5,"CG",0.45784042637659
"ELS",5,"CG/PR",0
"ELS",5,"CG/SC",0
"ELS",5,"PI",0.0122900022739764
"ELS",5,"PR",0.00298957683587784
"ELS",5,"SC",0.00149462234878906
"ELS",5,"SH",0
"ELS",5,"UN",0.0118782257582515
"ELS",6,"CF",0.624106376778992
"ELS",6,"CG",0.275482981594367
"ELS",6,"CG/PR",0.00366264589539483
"ELS",6,"CG/SC",0
"ELS",6,"PI",0.000138643925612173
"ELS",6,"PR",0.00801109448626858
"ELS",6,"SC",0.0549453858800931
"ELS",6,"SH",0.0219783171362993
"ELS",6,"UN",0.0116745543029735
"ELS",7,"CF",0.434198706684711
"ELS",7,"CG",0.558957212337743
"ELS",7,"CG/PR",0
"ELS",7,"CG/SC",0.00137727514376457
"ELS",7,"PI",0.00182226861126047
"ELS",7,"PR",0
"ELS",7,"SC",0.000444993467495897
"ELS",7,"SH",0.00275455028752914
"ELS",7,"UN",0.000444993467495897
"ELS",8,"CF",0.555580220074602
"ELS",8,"CG",0.379489566436463
"ELS",8,"CG/PR",0
"ELS",8,"CG/SC",0
"ELS",8,"PI",0.0106201981520375
"ELS",8,"PR",0.00365071039254555
"ELS",8,"SC",0
"ELS",8,"SH",0.0110188291694545
"ELS",8,"UN",0.0396404757748973
"RCLS",1,"CF",0.333333333333333
"RCLS",1,"CG",0.611105277894442
"RCLS",1,"CG/PR",0
"RCLS",1,"CG/SC",0
"RCLS",1,"PI",0
"RCLS",1,"PR",0
"RCLS",1,"SC",0
"RCLS",1,"SH",0.0555613887722246
"RCLS",1,"UN",0
"RCLS",2,"CF",0.100924686399627
"RCLS",2,"CG",0.648064303409754
"RCLS",2,"CG/PR",0
"RCLS",2,"CG/SC",0
"RCLS",2,"PI",0.00378812051950432
"RCLS",2,"PR",0.038178468174365
"RCLS",2,"SC",0.0268626135613352
"RCLS",2,"SH",0.144434300195269
"RCLS",2,"UN",0.037747507740146
"RCLS",3,"CF",0.629270470702483
"RCLS",3,"CG",0.228212625420135
"RCLS",3,"CG/PR",0
"RCLS",3,"CG/SC",0.0172818375474132
"RCLS",3,"PI",0.00154646658018068
"RCLS",3,"PR",0.0154624136279797
"RCLS",3,"SC",0.0377153444592132
"RCLS",3,"SH",0.0349103482231812
"RCLS",3,"UN",0.0356004934394142
"RCLS",4,"CF",0.92056555406071
"RCLS",4,"CG",0.0497077619865816
"RCLS",4,"CG/PR",0
"RCLS",4,"CG/SC",0
"RCLS",4,"PI",0
"RCLS",4,"PR",0.00511938562019384
"RCLS",4,"SC",0.00173005578028382
"RCLS",4,"SH",0.0185031293503083
"RCLS",4,"UN",0.00437411320192282
"RCLS",5,"CF",0.950404468150045
"RCLS",5,"CG",0.0449821466298913
"RCLS",5,"CG/PR",0
"RCLS",5,"CG/SC",0.000157468130133975
"RCLS",5,"PI",0.000314936260267951
"RCLS",5,"PR",0.000315003426828495
"RCLS",5,"SC",0.000147347499648209
"RCLS",5,"SH",0.00106199418156759
"RCLS",5,"UN",0.00261663572161745
"RCLS",6,"CF",0.478969353146771
"RCLS",6,"CG",0.414526313341486
"RCLS",6,"CG/PR",0
"RCLS",6,"CG/SC",0.0185474346667904
"RCLS",6,"PI",0.00430150816016847
"RCLS",6,"PR",0.00614956600935246
"RCLS",6,"SC",0.0304410135637923
"RCLS",6,"SH",0.0170537789270163
"RCLS",6,"UN",0.0300110321846232
"RCLS",7,"CF",0.110083381959077
"RCLS",7,"CG",0.566564353018846
"RCLS",7,"CG/PR",0.000855349010882411
"RCLS",7,"CG/SC",0.0143086496675172
"RCLS",7,"PI",0.00400562344544176
"RCLS",7,"PR",0.0958558172559928
